Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"Pan molde natural 100% sin corteza BIMBO, paquete 450 g",22884514,2-ALIMENTACION,10-DULCE,26-PAN DE MOLDE,6-PAN BLANCO,20-PAN BLANCO SIN CORTEZA,"Pan molde natural 100% sin corteza BIMBO, paquete 450 g",BIMBO,22884514,PAQUETE,"0,45",450,1,KG,,,,"2,79","2,09","6,20","4,65",,"8,65",2nd unit-50%,"1,99","4,42",5%," 'distance': 2,1891374588012695",30154,'Bimbo pan molde sin corteza 450g',BIMBO,,BOLSA/BOLSON,"0,45",KG,450,1,450,,,,"2,55",,,"5,67",,,,,"-1,25","-1,02",-22%,-28%,9%,9%,7%
Coliflor EROSKI bolsa 1 kg,25904830,2-ALIMENTACION,3-CONGELADOS,7-VERDURAS CONGELADAS,1-VERDURA NATURAL,9-OTRAS VERDURAS,Coliflor EROSKI bolsa 1 kg,EROSKI,25904830,BOLSA,1,1000,1,KG,,,,"2,29",,"2,29",,,"2,66",,"2,06","2,06",10%," 'distance': 6,867513656616211",103209,'METRO Chef Coliflor 40/6 2,METRO CHEF,,BOLSA/BOLSON,"2,50",KG,2500,1,2500,,,,"5,19","4,46",,"2,14","1,84",,14%,COMPRA MAS PAGA MENOS,"0,22","0,45",20%,11%,7%,7%,7%
"Ketjap manis GO-TAN, botella 270 ml",24287278,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,10-COMIDA ASIATICA,10-INDIA Y THAI,"Ketjap manis GO-TAN, botella 270 ml",GO-TAN,24287278,BOTELLA,"0,27",270,1,L,,,,"3,41",,"12,63",,,"0,23",,"2,73","10,10",20%," 'distance': 0,854081153869629",191511,GO-TAN salsa soja dulce ketjap 270 ml,GO-TAN,,BOTELLA,"0,27",L,270,1,270,,,,"3,25",,,"12,04",,,,,"-1,93","0,59",5%,-19%,5%,5%,6%
"Leche semidesnatada sin lactosa ASTURIANA, brik 1 litro",15617756,2-ALIMENTACION,5-LACTEOS,3-LECHE,4-LECHE SIN LACTOSA,10-LECHE SIN LACTOSA SEMIDESNTADA,"Leche semidesnatada sin lactosa ASTURIANA, brik 1 litro",ASTURIANA,15617756,BRIK,1,1000,1,L,España,,,"1,30",,"1,30",,,"27,88",,"1,24","1,24",5%," 'distance': 2,0311431884765625",136651,'Central Lechera Asturiana leche semidesnatada sin lactosa brik 1 L contiene 6 unidades',CENTRAL LECHERA ASTURIANA,,PACK,"1,00",L,1000,6,6000,,,,"7,27",,,"1,21",,,,,"0,02","0,09",7%,2%,7%,7%,7%
"Tortilla de patatas con cebolla BENIS, 1 ud, 650 g",24141129,1-FRESCOS,14-SOLUCIONES CULINARIAS,30-CALENTAR Y LISTO,"25-TORTILLAS Y MUND,PATATA",1-TORTILLAS,"Tortilla de patatas con cebolla BENIS, 1 ud, 650 g",BENIS,24141129,UNIDAD,"0,65",650,1,KG,España,,,"4,99","3,99","7,68","6,14",,"4,33",20%,,,," 'distance': 1,321347951889038",174120,Benis Gourmet tortilla de patatas con cebolla 1kg,BENIS GOURMET,,PACK,"1,00",KG,1000,1,1000,,,,"6,77","5,82",,"6,77","5,82",,14%,COMPRA MAS PAGA MENOS,"0,32","0,32",5%,5%,12%,-36%,-11%
"Vermut Rojo EL BANDARRA, botella 1 litro",19654193,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,25-VERMOUTH,1-VERMOUTH ROJO,"Vermut Rojo EL BANDARRA, botella 1 litro",EL BANDARRA,19654193,BOTELLA,1,1000,1,L,,,,"9,15",,"9,15",,,"0,03",,"7,78","7,78",15%," 'distance': 2,676405906677246",182479,'El Bandarra vermut botella 1L',EL BANDARRA,,BOTELLA,"1,00",L,1000,1,1000,,,,"8,34",,,"8,34",,,,,"-0,56","0,81",9%,-7%,9%,9%,7%
"Champiñon Portobello, bandeja 200 g",15942451,1-FRESCOS,1-FRUTA Y HORTALIZA,2-HORTALIZA,60-HONGOS,5-CHAMPIÑONES,"Champiñon Portobello, bandeja 200 g",EROSKI,15942451,BANDEJA,"0,2",200,1,KG,España,,,"1,65",,"8,25",,,"9,9",,"1,40","7,01",15%," 'distance': 1,326228380203247",4123,Champiñón Portobello bandeja 500g',MAKRO CHEF,,BANDEJA,"0,50",KG,500,1,500,,,,"3,84",,,"7,68",,,,,"-0,67","0,57",7%,-10%,7%,7%,7%
"Cava Brut Imperial GRAMONA, botella 75 cl",10841575,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,3-CAVAS,3-CAVAS BRUT,"Cava Brut Imperial GRAMONA, botella 75 cl",GRAMONA,10841575,BOTELLA,"0,75",750,1,L,,,,"26,25",,"35,00",,,"0,11",,"21,00","28,00",20%," 'distance': 3,0874388217926025",308958,'Gramona Imperial Espumoso brut Gran Reserva botella 75cl',GRAMONA IMPERIAL,,BOTELLA,"0,75",L,750,1,750,,,,"24,19",,,"32,25",,,,,"-4,25","2,75",8%,-15%,8%,8%,7%
"Tónica pink SCHWEPPES ZERO, lata 33 cl",24079626,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,9-C/G TONICA,20-C/G TONICA ZERO,"Tónica pink SCHWEPPES ZERO, lata 33 cl",SCHWEPPES,24079626,LATA,"0,33",330,1,L,,,,"0,99","0,74","3,00","2,25",,"0,26",2nd unit-50%,"0,59","1,80",20%," 'distance': 0,9877618551254272",217515,Schweppes tónica pink zero lata 25 cl contiene 24 unidades',SCHWEPPES,,PACK,"0,25",L,250,24,6000,,,,"17,65","16,59",,"2,94","2,77",,6%,COMPRA MAS PAGA MENOS,"-0,97","-0,52",-23%,-54%,2%,11%,8%
"Whisky Reserva J, WALKER Gold, botella 70 cl",15600570,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,5-WHISKY¿PREMIUM,"Whisky Reserva J, WALKER Gold, botella 70 cl",JOHNNIE WALKER,15600570,BOTELLA,"0,7",700,1,L,Reino Unido,,,"55,99",,"79,99",,,0,,"47,59","67,99",15%," 'distance': 2,8873724937438965",123197,"JOHNNIE WALKER whisky escocés botella 70cl Alc, 40% vol,",JOHNNIE WALKER,,BOTELLA,"0,70",L,700,1,700,,,,"54,32",,,"77,60",,,,,"-9,61","2,39",3%,-14%,3%,3%,6%
"Vino Blanco orchidea Sauvignon Navarra INURRIETA, botella 75 cl",15292923,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","55-VINO BLANCO D,O, NAVARRA","Vino Blanco orchidea Sauvignon Navarra INURRIETA, botella 75 cl",INURRIETA,15292923,BOTELLA,"0,75",750,1,L,España,,,"8,08",,"10,77",,,"0,03",,"6,87","9,16",15%," 'distance': 2,5079874992370605",91145,'Inurrieta vino blanco orchidea botella 75cl',INURRIETA,,BOTELLA,"0,75",L,750,1,750,,,,"6,16",,,"8,21",,,,,"0,94","2,56",24%,10%,24%,24%,13%
"Bitter ANGOSTURA, botellín 20 cl",20162038,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,25-VERMOUTH,10-VERMOUTH APERITIVOS (AMARGOS),"Bitter ANGOSTURA, botellín 20 cl",ANGOSTURA,20162038,BOTELLÍN,"0,2",200,1,L,Trinidad y Tobago,,,"14,95",,"74,75",,,"0,03",,"12,71","63,54",15%," 'distance': 1,3826584815979004",5502,'ANGOSTURA Bitters botella 20 cl',ANGOSTURA,,BOTELLA,"0,20",L,200,1,200,,,,"13,90",,,"69,50",,,,,"-5,96","5,25",7%,-9%,7%,7%,7%
"Whisky JOHNNIE WALKER Double Black, botella 70 cl",16090235,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,5-WHISKY¿PREMIUM,"Whisky JOHNNIE WALKER Double Black, botella 70 cl",JOHNNIE WALKER,16090235,BOTELLA,"0,7",700,1,L,Reino Unido,,,"41,65",,"59,50",,,0,,"35,40","50,58",15%," 'distance': 2,5685367584228516",123194,"JOHNNIE WALKER whisky escocés double black botella 70cl Alc, 40% vol,'",JOHNNIE WALKER,,BOTELLA,"0,70",L,700,1,700,,,,"36,12",,,"51,60",,,,,"-1,03","7,90",13%,-2%,13%,13%,9%
"Queso de oveja de leche cruda añejo POK, cuña 250 g",25310897,1-FRESCOS,4-CHARCUTERIA,3-QUESOS PORCION,19-QUESO VIEJO PORCION,4-QUESO VIEJO OVEJA PORCION,"Queso de oveja de leche cruda añejo POK, cuña 250 g",POK,25310897,CUñA,"0,25",250,1,KG,,,,"6,39",,"25,56",,,,,"5,75","23,00",10%," 'distance': 0,418428272008896",61616,Pok queso oveja añejo pieza 500 g,POK,,KILO,"1,5",KG,1500,1,1500,,,,"23,76",,,"23,76",,,,,"-0,76","1,80",7%,-3%,7%,7%,7%
"Sidra natural Gorenak BEREZIARTUA, botella 75 cl",5867841,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,5-SIDRAS,3-SIDRAS NATURALES,"Sidra natural Gorenak BEREZIARTUA, botella 75 cl",BEREZIARTUA,5867841,BOTELLA,"0,75",750,1,L,,,,"2,79",,"3,72",,,"0,19",,"2,23","2,98",20%," 'distance': 2,611636161804199",283855,'Bereziartua Sidra 75cl',BEREZIARTUA,,BOTELLA,"0,75",L,750,1,750,,,,"2,65","2,25",,"3,53","3,00",,15%,COMPRA MAS PAGA MENOS,"-0,02","0,72",19%,-1%,5%,7%,7%
Hamburguesa de pollo EROSKI bandeja 360 g,22396832,1-FRESCOS,2-CARNICERIA,65-ELABORADOS ENVASADO,14-ELABORADOS HAMBURGUESA ENVASAD,5-HAMBURGUESA DE AVE ENVASADO,Hamburguesa de pollo EROSKI bandeja 360 g,EROSKI,22396832,BANDEJA,"0,36",360,1,KG,España,,,"2,55",,"7,08",,,"0,50",,"2,30","6,38",10%," 'distance': 2,521486520767212",212956,'Hamburguesa de Pollo 20X80 GR AI',MAKRO,,BANDEJA,"2,00",KG,2000,1,2000,,,,"13,15",,,"6,58",,,,,"-0,20","0,51",7%,-3%,7%,7%,7%
"Limpiador SANYTOL, botella 1,2 litros",12526323,2-ALIMENTACION,12-DROGUERIA,50-LIMPIADORES,19-RESTO HOGAR,18-LIMPIAHOGAR GRAL DESINFECCION,"Limpiador SANYTOL, botella 1,2 litros",SANYTOL,12526323,BOTELLA,"1,2",1200,1,L,,,,"3,19",,"2,66",,,"2,88",,"3,03","2,53",5%," 'distance': 2,0848538875579834",7454,'SANYTOL Limpiahogar 1,SANYTOL,,BOTELLA,"1,20",L,1200,1,1200,,,,"2,96",,,"2,47",,,,,"0,06","0,19",7%,2%,7%,7%,8%
"Salsa korma PATAK'S, frasco 450 g",24275877,2-ALIMENTACION,8-SALADO,39-COMIDAS DEL MUNDO,10-COMIDA ASIATICA,10-INDIA Y THAI,"Salsa korma PATAK'S, frasco 450 g",PATAK'S,24275877,FRASCO,"0,45",450,1,KG,,,,"3,50",,"7,78",,,"0,3",,"2,80","6,22",20%," 'distance': 0,530094563961029",199831,PATAK'S salsa curry korma sin gluten tarro 450 g,PATAK'S,,TARRO,"0,45",KG,450,1,450,,,,"3,47",,,"7,71",,,,,"-1,49","0,07",1%,-24%,1%,1%,5%
"Garbanzo pedrosillano LUENGO, paquete 500 g",14708119,2-ALIMENTACION,9-COCINA,9-LEGUMBRES,3-GARBANZO SECO,7-GARBANZO PEDROSILLANO,"Garbanzo pedrosillano LUENGO, paquete 500 g",LUENGO,14708119,PAQUETE,"0,5",500,1,KG,,,,"1,95","1,50","3,90","3,00",,"0,86",23%,"1,28","2,55",15%," 'distance': 1,829986572265625",37028,'Luengo garbanzo pedrosillano 5kg',LUENGO,,PAQUETE,"5,03",KG,5028,1,5028,,,,"18,19",,,"3,62",,,,,"-1,07","-0,62",-21%,-42%,7%,7%,7%
"Café molido natural FORTALEZA, paquete 500 g",20012274,2-ALIMENTACION,10-DULCE,8-CAFE,3-CAFE MOLIDO,1-CAFE MOLIDO NATURAL,"Café molido natural FORTALEZA, paquete 500 g",FORTALEZA,20012274,PAQUETE,"0,5",500,1,KG,,,,"7,22","4,69","14,44","9,39",,"3,58",2nd unit-70%,"4,22","8,45",10%," 'distance': 0,8854919672012329",4938,Fortaleza café molido natural 1Kg',FORTALEZA,,PAQUETE,"1,00",KG,1000,1,1000,,,,"18,80",,,"12,53",,,,,"-4,08","-3,14",-33%,-48%,13%,13%,10%
"Vino Blanco Rueda MARQUÉS DE RISCAL , botella 75 cl",340158,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","67-VINO BLANCO D,O, RUEDA","Vino Blanco Rueda MARQUÉS DE RISCAL , botella 75 cl","MARQ,RISCAL",340158,BOTELLA,"0,75",750,1,L,España,,,"9,39",,"12,52",,,"1,17",,"7,98","10,64",15%," 'distance': 1,4323712587356567",69537,MARQUÉS DE RISCAL vino blanco Denominación de Origen dueda botella 75cl',MARQUÉS DE RISCAL,,BOTELLA,"0,75",L,750,1,750,,,,"8,29",,,"11,05",,,,,"-0,41","1,47",12%,-4%,12%,12%,10%
ACEITUNA RECETA CORTIJO-SARASA 3,20143657,2-ALIMENTACION,8-SALADO,48-ACEIT. Y ENCURT. TRADICIONALES,5-ACEITUNAS TRADICIONALES,5-ACEITUNAS TRADICIONALES,ACEITUNA RECETA CORTIJO-SARASA 3,SARASA,20143657,LATA,"4,2",4200,1,KG,,,,"13,15",,"3,13",,,"0,5",,"9,86","2,35",25%," 'distance': 0,341050624847412",130729,SARASA aceituna la receta del cortijo lata 2500 gne (4200 g),SARASA,,RETRACTIL,"4,2",KG,4200,1,4200,,,,"14,69","12,63",,"3,50","3,01",,14%,COMPRA MAS PAGA MENOS,"-0,66","0,12",4%,-28%,-12%,-12%,0%
"Whisky FOUR ROSES BOURBON, botella 70 cl",360883,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,9-WHISKY AMERICANO,"Whisky FOUR ROSES BOURBON, botella 70 cl",FOUR ROSES,360883,BOTELLA,"0,7",700,1,L,Estados Unidos,,,"19,59",,"27,99",,,"0,61",,"16,65","23,79",15%," 'distance': 3,3026790618896484",75595,"Four Roses whisky americano botella 70cl Alc, 40% vol,'",FOUR ROSES,,BOTELLA,"0,70",L,700,1,700,,,,"17,48",,,"24,97",,,,,"-1,18","3,01",11%,-5%,11%,-11%,1%
"Queso azul EROSKI al corte, compra mínima 250 g",8529596,1-FRESCOS,4-CHARCUTERIA,1-QUESOS MOSTRADOR,22-QUESO AZULES Y VETEADOS,2-QUESOS AZULES INTERNACIONALES,"Queso azul EROSKI al corte, compra mínima 250 g",EROSKI,8529596,GRANEL,"0,25",250,1,AL CORTE,,,,"3,56",,"14,24",,,"0,2",,"2,67","10,68",25%," 'distance': 0,678117871284485",208373,makro Chef queso azul 5% oveja,MAKRO CHEF,,PIEZA,"2,5",KG,2500,1,2500,,,,"12,43","10,57",,"12,43","10,57",,15%,COMPRA MAS PAGA MENOS,"0,11","3,67",26%,1%,13%,15%,10%
"Cava Ice Rosé FREIXENET, botella 75 cl",20099982,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,3-CAVAS,13-OTROS TIPOS DE ESPUMOSOS,"Cava Ice Rosé FREIXENET, botella 75 cl",FREIXENET,20099982,BOTELLA,"0,75",750,1,L,,,,"9,99",,"13,32",,,0,,"7,99","10,66",20%," 'distance': 0,7719063758850098",167353,'Freixenet cava ice rose botella 75cl',FREIXENET,,BOTELLA,"0,75",L,750,1,750,,,,"9,06",,,"12,08",,,,,"-1,42","1,24",9%,-13%,9%,9%,8%
"Garbanzo lechoso extra LUENGO, paquete 1 Kg",15964752,2-ALIMENTACION,9-COCINA,9-LEGUMBRES,3-GARBANZO SECO,3-GARBANZO LECHOSO,"Garbanzo lechoso extra LUENGO, paquete 1 Kg",LUENGO,15964752,PAQUETE,1,1000,1,KG,,,,"4,25",,"4,25",,,"0,88",,"3,61","3,61",15%," 'distance': 1,5836637020111084",37027,'Luengo garbanzo lechoso 5kg',LUENGO,,PAQUETE,"5,00",KG,5000,1,5000,,,,"21,41",,,"4,28",,,,,"-0,67","-0,03",-1%,-19%,-1%,-7%,2%
"Limpiador multiusos sin lejía SANYTOL, pistola 750 ml",14086177,2-ALIMENTACION,12-DROGUERIA,50-LIMPIADORES,19-RESTO HOGAR,35-LIMPIAHOGAR MULTIUSOS SPRAY,"Limpiador multiusos sin lejía SANYTOL, pistola 750 ml",SANYTOL,14086177,PISTOLA,"0,75",750,1,L,,,,"2,99","2,24","3,99","2,99",,"9,11",2nd unit-50%,"2,13","2,84",5%," 'distance': 2,8684730529785156",7455,'SANYTOL limpiador multiusos 750ml',SANYTOL,,AEROSOL/SPRAY,"0,75",L,750,1,750,,,,"2,6",,,"3,47",,,,,"-0,63","-0,48",-16%,-22%,13%,7%,9%
"Whisky escocés JB, botella 1 litro",6606255,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,13-WHISKY,3-WHISKY¿STANDARD,"Whisky escocés JB, botella 1 litro",J&B,6606255,BOTELLA,1,1000,1,L,Reino Unido,,,"19,25","17,13","19,25","17,13",,"0,15",11%,"16,28","16,28",5%," 'distance': 2,703507900238037",1089,"J&B whisky escocés botella 1L Alc, 34% vol,'",J&B,,BOTELLA,"1,00",L,1000,1,1000,,,,"14,99",,,"14,99",,,,,"1,29","2,14",13%,8%,22%,16%,11%
"Leche Condensada LA LECHERA, lata 740 g",346106,2-ALIMENTACION,8-SALADO,21-LECHES ESPECIALES,3-LECHE¿CONDENSADA¿,1-LECHE CONDENSADA GRANDE,"Leche Condensada LA LECHERA, lata 740 g",LA LECHERA,346106,LATA,"0,74",740,1,KG,España,,,"3,95",,"5,34",,,"1,65",,,,," 'distance': 0,9143242835998535",127027,'La Lechera Consumer leche condensada,LA LECHERA,,BOTE,"0,74",KG,740,1,740,,,,"3,91",,,"5,28",,,,,"0,05","0,05",1%,1%,1%,1%,5%
"Ginebra BEEFEATER BLACK, botella 70 cl",25935792,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,10-GINEBRA PREMIUM,"Ginebra BEEFEATER BLACK, botella 70 cl",BEEFEATER,25935792,BOTELLA,"0,7",700,1,L,Reino Unido,,,"18,15","16,15","25,93","23,08",,0,11%,"13,73","19,61",15%," 'distance': 0,8552790284156799",214755,'BEEFEATER ginebra black botella 70 cl',BEEFEATER 24,,BOTELLA,"0,70",L,700,1,700,,,,"16,76",,,"23,94",,,,,"-4,33","-0,87",-4%,-22%,8%,7%,7%
"Vino Banco D,O,C, Rioja SOLAR DE ESTRAUNZA, botella 75 cl",23791320,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","66-VINO BLANCO D,O, RIOJA","Vino Banco D,O,C, Rioja SOLAR DE ESTRAUNZA, botella 75 cl",SOLAR DE ESTRAUNZA,23791320,BOTELLA,"0,75",750,1,L,,,,"3,99",,"5,32",,,"0,33",,"3,39","4,52",15%," 'distance': 2,5754590034484863",185568,'Solar De Estraunza vino blanco botella 75cl',SOLAR DE ESTRAUNZA,,BOTELLA,"0,75",L,750,1,750,,,,"3,69",,,"4,92",,,,,"-0,40","0,40",8%,-9%,8%,8%,8%
"Vino Tinto Joven D,O, Rioja FAUSTINO VII, botella 75 cl",954615,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","52-VINO TINTO D,O, RIOJA JOVEN","Vino Tinto Joven D,O, Rioja FAUSTINO VII, botella 75 cl",FAUSTINO VII,954615,BOTELLA,"0,75",750,1,L,España,,,"4,35",,"5,80",,,"4,53",,"3,70","4,93",15%," 'distance': 0,8440989255905151",383513,'Faustino VII vino tinto Rioja botella 75cl',FAUSTINO,,BOTELLA,"0,75",L,750,1,750,,,,"3,98",,,"5,31",,,,,"-0,38","0,49",9%,-8%,9%,10%,8%
"Ginebra BEEFEATER, botella 70 cl",313577,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,3-GINEBRA ESTANDAR,"Ginebra BEEFEATER, botella 70 cl",BEEFEATER,313577,BOTELLA,"0,7",700,1,L,Reino Unido,,,"14,25","12,97","20,36","18,53",,"0,26",9%,"11,02","15,75",15%," 'distance': 0,15854965150356293",821353,'BEEFEATER ginebra botella 70 cl',BEEFEATER,,BOTELLA,"0,70",L,700,1,700,,,,"13,61",,,"19,44",,,,,"-3,70","-0,92",-5%,-23%,4%,4%,7%
"Queso rulo de cabra PRESIDENT, rulo 180 g",21148119,1-FRESCOS,4-CHARCUTERIA,3-QUESOS PORCION,30-QUESOS RULO Y MEDALLONES,5-QUESOS RULO PORCION,"Queso rulo de cabra PRESIDENT, rulo 180 g",PRESIDENT,21148119,RULO,"0,18",180,1,KG,Francia,,,"4,25","3,19","23,61","17,71",,"3,23",2nd unit-50%,"2,87","15,94",10%," 'distance': 0,5297846794128418",175223,PRÉSIDENT queso cabra rulo 180 g',PRÉSIDENT,,RULO,"0,18",KG,180,1,180,,,,"3,69","3,14",,"20,50","17,43",,15%,COMPRA MAS PAGA MENOS,"-1,49","0,28",2%,-9%,13%,12%,9%
"Chuletillas de cordero, bandeja aprox. 1.2 kg",5018213,1-FRESCOS,2-CARNICERIA,63-CORDERO ENVASADO,1-CORDERO RECENTAL ENVASADO,2-CORD RECENT CHULET ENVASADO,"Chuletillas de cordero, bandeja aprox. 1.2 kg",EROSKI,5018213,BANDEJA,"1,2",1200,1,KG,,,,"34,20","31,46","28,50","26,22",,"0,26",8%,,,," 'distance': 0,7485693658674753",206969,"Chuletas palo cordero bandeja 1,5 kg",MAKRO,,BANDEJA,"1,5",KG,1500,1,1500,,,,"29,54",,,"19,69",,,,,"6,53","6,53",25%,25%,31%,8%,8%
"Ginebra BOMBAY ORIGINAL, botella 70 cl",361915,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,3-GINEBRA ESTANDAR,"Ginebra BOMBAY ORIGINAL, botella 70 cl",BOMBAY,361915,BOTELLA,"0,7",700,1,L,Reino Unido,,,"17,05",,"24,36",,,"0,03",,"14,49","20,70",15%," 'distance': 0,6245969533920288",100867,'BOMBAY DRY GIN ginebra original botella 70 cl',BOMBAY,,BOTELLA,"0,70",L,700,1,700,,,,"13,61",,,"19,44",,,,,"1,26","4,92",20%,6%,20%,21%,12%
"Yogur artesano al estilo griego PASTORET, tarrina 500 g",18643197,2-ALIMENTACION,5-LACTEOS,4-YOGURES Y POSTRES,2-YOGURES ESPECIALES,80-TIPO GRIEGO NATURAL,"Yogur artesano al estilo griego PASTORET, tarrina 500 g",PASTORET,18643197,TARRINA,"0,5",500,1,KG,,,,"3,39",,"6,78",,,"3,34",,,,," 'distance': 3,211979389190674",195145,Pastoret yogur tipo griego 500 g,PASTORET,,UNIDAD,"0,5",KG,500,1,500,,,,"3,28",,,"6,56",,,,,"0,22","0,22",3%,3%,3%,8%,8%
"Ron Añejo BARCELO, botella 1,75 cl",20097176,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,5-RON,5-RON¿OSCURO¿ESTANDAR,"Ron Añejo BARCELO, botella 1,75 cl",BARCELO,20097176,BOTELLA,"1,75",1750,1,L,,,,35,,"20,00",,,"0,15",,"29,75","17,00",15%," 'distance': 1,5762498378753662",168061,"Barcelo ron añejo botella 1,75 L Alc, 37% vol,",RON BARCELÓ,,BOTELLA,"1,75",L,1750,1,1750,,,,"33,99",,,"19,42",,,,,"-2,42","0,58",3%,-14%,3%,8%,7%
"Mantequilla ASTURIANA, tarrina 250 g",983536,2-ALIMENTACION,5-LACTEOS,14-MANTEQUILLAS Y MARGARINAS,1-MANTEQUILLA,3-MANTEQUILLA TARRINA,"Mantequilla ASTURIANA, tarrina 250 g",ASTURIANA,983536,TARRINA,"0,25",250,1,KG,,,,"3,75",,"15,00",,,"5,92",,"3,19","12,75",15%," 'distance': 0,3525789678096771",106325,'Asturiana mantequilla tarrina 250 g',ASTURIANA,,TARRINA,"0,25",KG,250,1,250,,,,"3,18","2,86",,"12,72","11,45",,10%,COMPRA MAS PAGA MENOS,"1,30","3,55",24%,10%,15%,8%,8%
"Molde de metal desmontable ZENKER, 26cm",11006301,4-BAZAR,20-MENAJE,6-HORNO Y CONSERVACION,3-REPOSTERIA,3-MOLDES PARA REPOSTERIA METAL,"Molde de metal desmontable ZENKER, 26cm",ZENKER,11006301,UNIDAD,1,1000,1,CM,,,,"11,75",,"11,75",,,"0,26",,,,," 'distance': 3,601590871810913",612378,'zenker molde desmontable 26 cm 2 piezas',ZENKER,,PIEZA,"0,40",CM,397,1,397,,,,"10,83",,,"10,83",,,,,"0,92","0,92",8%,8%,8%,8%,8%
"Manzana Golden, bolsa 1,5 kg",24918120,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,25-MANZANAS,30-MANZANAS DULCES GOLDEN,"Manzana Golden, bolsa 1,5 kg",EROSKI,24918120,BOLSA,"1,5",1500,1,KG,,,,"2,93",,"1,95",,,"18,61",,"2,64","1,76",10%," 'distance': 3,126147747039795",933933,"Manzana golden calibre 65/75 bolsa 2kg ,'",MAKRO CHEF,,KILO,"2,00",KG,2000,1,2000,,,,"1,76",,,"1,76",,,,,"0,00","0,19",10%,0%,10%,-6%,2%
Alubia blanca larga EROSKI paquete 1 kg,25948324,2-ALIMENTACION,9-COCINA,9-LEGUMBRES,1-ALUBIA SECA,1-ALUBIA BLANCA LARGA,Alubia blanca larga EROSKI paquete 1 kg,EROSKI,25948324,PAQUETE,1,1000,1,KG,,,,"2,55",,"2,55",,,"2,69",,"2,17","2,17",15%," 'distance': 5,395942687988281",200639,'makro Chef alubia blanca paquete 1kg',MAKRO CHEF,,BOLSA/BOLSON,"1,00",KG,1000,1,1000,,,,"2,34","2,15",,"2,34","2,15",,8%,COMPRA MAS PAGA MENOS,"0,01","0,40",16%,1%,8%,8%,7%
